filename,id_number,hyphenated_code,field1,field2,field3,field4,field5,field6
000584,110593,3-OR-90,CELOSPOR I.M. CIBA PH,PACKUNGEN DEUTSCH,,,,A2A3
000336,115061,1-DR-90,SVP,PRODUKTION TROCKNUNG,SERVlPROFEN MITARBEITER,,A1D2,
0001384,111875,3-OR-90,OTRIVIN PH,SAUDI ARABIEN 89 STANDARD,CARD PACKUNGEN,P/32922,D/89,A2B4
0001998,115026,1-OR-90,ARZT + PATIENT PH,PATIENT ARZT PRAXIS FUSS,UNTERSUCHEN,,,! AIBI
000138,10702B,2-DR-88,PH PRODUKTION,WSH-2112,ROEHRN,! F/MACK,! D/89,! AIC3
0001440,111390,3-OR-90,OTRIVIN OTRINOL PH CH OTC,GAMME PACKUNGEN,,,D/89,A2B4
000761,110694,3-DR-90,FORTISAN PH,CHILDREN'S TEA,KAMILLE,Q/NDF,D/88,A2A6
0001062,110961,3-DR-90,LOPRESOR PH,TABLETTE,DARREICHUNGSFOR M,P/15518,AZB1,
000868,11075B,3-DU-90,HEMERAN PH CH DTC,PACKUNGEN KAPSELN 30 60,,,D/8B,A2AB
0001380,116639,3-DU-90,OTRIVIN PH,STANDARD CARD 90,ISRAEL,P/42177 S/BUEHLER,D/90,A2B4
000810,110729,3-DU-90,GLY-CORAMIN PH CH OTC,,MUSTER,,A2A7,
0001799,114897,2-OR-90,PATIENT PH,FRAU PORTRAIT INHALATION,FORADIL,,,A1B1
0001290,111247,3-OR-90,NITRODERM TTS PH,,PFLASTER,I,,A2B3
0001301,111253,3-OR-90,NITRODERM TTS PH,,POSTER ENGLISCH,,,A2B3
000813,110738,3-DU-90,GLY-CORAMIN PH CH OTC,DOKUMENTATION,,,AZAT,
000791,110715,3-DR-90,FORTISAN PH,PACKUNGEN DOSE ROT DRINK,ENGLISCH HERBAL ANTI-PAIN,! P/31274,! D/87,! A2A6
0001615,108391,2-OR-89,PH FORSCHUNG,PHARMAZEUTISCHE ENTWICKLUNG,FESTE DARREICHUNGSFORMEN,; MITARBEITER,; D/88,; A1A7
0001214,122061,3-OR-93,NICOTINELL TTS PH,PROMOTION NIEDERLANDE,,MAGAZIN 1/93,D/92,A283
000750,123716,3-OR-94,FORADIL PH,TITEL,,F/ALLCOMM,D/94,A2A6
000618,110611,3-OR-90,CIBALGIN GAMME PH CH OTC,PACKUNGEN BURG,,,A2A3,
000265,115208,1-OR-90,PH PRODUKTION,MST QUALITAETSKONTROLLE,MITARBEITER ANALYSE,A1C4,,
0001766,111788,2-OR-90,PH LINISCHE FORSCHUNG,TEST HERZ KREISLAUF,FUNKTIONEN ARZT PATIENT,INJEKTION GERAETE SONDEN,D/89 P/32787,A1AB
0001706,108510,2-OR-89,PH FORSCHUNG,PHARMAZEUTISCHE ENTWICKLUNG,UEBRIGE DARREICHUNGSFORMEN,MITARBEITER,D/B8,A1A7
0001916,114971,2-DR-90,MANN ALT SPITAL BETT,KRANKENSCHWESTER SPRITZE,ARZT PATIENT SUJET PH,| AIBI,,
000102,106983,2-OR-88,PM PRODUKTION,WSH-2112,,F/MACK,D/88,A1C3
0001144,11105B,3-OR-90,MODULAN PH,KNETMASSE LEPRA GRIP-AID,WERKZEUGE,P/50815,D/88,A2B2
0001125,111032,3-DR-90,MB-COMBI PH,PACKUNG BLISTER,,S/VILLIGER,D/89,A2B2
00079,108673,2-DR-89,PH PRODUKTION K-640,KESSEL BLAU,ROEHRN,| F/HAEFLIGER,| D/87,| A1C1
0001816,114884,2-OR-90,PATIENT PH,FRAU SPITAL BETT GLAS,KRANKENSCHWESTER TABLETTE,|,| A1B1,|
000952,110916,2-OR-90,LIORESAL PH,FRAU ROLLSTUHL MASKE,MAKE-UP,,AZB1,
0001255,111136,2-OR-90,NITRODERM TTS PH,OBERKOERPER MANN PFLASTER,,,A2B3,
0001417,116621,3-DU-90,OTRIVIN PH CH OTC,SCHAUFENSTER,,S/TARGA P/34480,D/90 91,AZB4
00069,108666,2-OR-89,PH PRODUKTION K-640,KESSEL BLAU,ROEHREN,F/HAEFLIGER,D/87,A1C1
000430,115101,1-DR-90,SVP,PRODUKTION DARREICHUNGSFORM,KAPSELN WEICHGELATINE,,A1D3,
000104,107019,2-OR-88,PH PRODUKTION,WSH-2112,ROEHREN,| F/MACK,| D/88,| AIC3
000221,108664,2-OR-89,PH PRODUKTION,WST VERPACKEN,MITARBEITERIN,! F/MACK,! D/88,! D1C4
000431,117879,3-OR-91,SVP,KAPSELN DOSE,,,A1D3,
000477,120907,3-OR-92,ZYMA MUENCHEN,GESCHAEFTSSITZ,,AGENTUR,AIDA,
00048,108698,2-OR-89,PH PRODUKTION K-641,LOESUNGSMITTEL DESTILLATION,KUPPLUNGSSTATION,MITARBEITER,D/87,AIC.J
0001527,108389,2-OR-89,PH FORSCHUNG,PHARMAZEUTISCHE ENTWICKLUNG,FESTE DARREICHUNGSFORMEN,MITARBEITER,D/BB,A1A7
0001988,114966,2-DR-90,MALI. TRIEWI + DUVEI FM,MANN ALT SPITAL BETT,ARZT PATIENT SUJET PH,,AIBI,
0001759,108530,2-OR-89,PH FORSCHUNG,PHARMAZEUTISCHE ENTWICKLUNG,NEUARTIGE DARREICHUNGSFORME,D/88,A1A7,
000604,110604,3-DR-90,CIBALGIN PH,PACKUNGEN TABLETTEN,ENGLISCH,,A2A3,
0001011,113100,3-DR-90,LOCASALEN PH,PACKUNGEN SALBE TUBEN 15g,,,A2B1,
000154,107014,2-DR-88,PH PRODUKTION,WSH-2112,ROEHREN,F/MACK,D/88,A1C3
000339,115082,1-OR-90,SVP,PRODUKTION VERPACKUNG,MASCHINE MITARBEITERIN,,A1D2,
0001234,111114,3-QR-90,NITRODERM TTS PH,,PFLASTER,Q/NDF,,A2B3
0001070,121255,3-OR-92,LOTENSIN USA 1991,,,! F/HAEFLIGER,! D/92,! A2B1
000523,117163,1-OR-90,AREDIA PH,LERNHANUAL TUMOR OSTEOLYSE,BRUSTKREBS OSTEOKLASTEN APD,P/32221,D/90,A2A1
000145,107005,2-OR-88,PH PRODUKTION,WSH-2112,ROEHREN,! F/MACK,! D/88,! AIC3
0001546,108360,2-DR-89,PH FORSCHUNG,PHARMAZEUTISCHE ENTWICKLUNG,FESTE DARREICHUNGSFORMEN,D/88,A1A7,
0001361,111274,3-DR-90,DTRIVIN PH,POSTCARD,KAFFEE TASSE,P/32921 S/BUEHLER,D/88,A2B4
